Strategy,Workload,Total Cost ($),Cost/Request ($),SLA Rate (%),Avg Latency (ms),P95 Latency (ms),Cost Savings (%)
Cost Optimized,Diurnal,64.80,0.001080,6.2,150.0,200.0,97.0
Reliability Optimized,Diurnal,1123.37,0.018723,11.9,150.0,200.0,47.3
Hybrid,Diurnal,2133.19,0.035553,2.5,150.0,200.0,0.0
Workload Aware,Diurnal,618.26,0.010304,8.2,150.0,200.0,71.0
Threshold,Diurnal,1608.35,0.026806,3.9,150.0,200.0,24.6
Rl Diurnal,Diurnal,669.70,0.011162,97.0,150.0,200.0,68.6
Cost Optimized,Steady,34.88,0.000581,1.1,150.0,200.0,97.3
Reliability Optimized,Steady,1146.65,0.019111,1.3,150.0,200.0,11.4
Hybrid,Steady,1293.85,0.021564,1.3,150.0,200.0,0.0
Workload Aware,Steady,579.72,0.009662,15.3,150.0,200.0,55.2
Threshold,Steady,1261.77,0.021029,1.4,150.0,200.0,2.5
Rl Steady,Steady,740.58,0.012343,100.0,150.0,200.0,42.8
